language,layer,layer_name,feature,accuracy,f1,n_train,n_test,n_pos_train,n_pos_test
fa-IR,7,layer_7,ARG0,0.82,0.8,1263,50,396,19
fa-IR,7,layer_7,ARG1,0.76,0.8461538461538461,1263,50,1050,43
fa-IR,7,layer_7,ARG2,0.74,0.8115942028985508,1263,50,798,33
fa-IR,7,layer_7,neg,0.94,0.0,1263,50,50,3
fa-IR,7,layer_7,time,0.92,0.0,1263,50,165,3
fa-IR,8,layer_8,ARG0,0.84,0.8,1263,50,396,19
fa-IR,8,layer_8,ARG1,0.66,0.7671232876712328,1263,50,1050,43
fa-IR,8,layer_8,ARG2,0.64,0.6666666666666666,1263,50,798,33
fa-IR,8,layer_8,neg,0.94,0.0,1263,50,50,3
fa-IR,8,layer_8,time,0.96,0.5,1263,50,165,3
